"text","label"
"Subject: Urgent: Suspicious Activity Detected on Your Chase Account

Dear Valued Customer,

We have detected multiple failed login attempts on your Chase Online Banking account from an unrecognized device located in a foreign country. To protect your account and prevent unauthorized access, we have temporarily restricted your online banking privileges.

To restore access and verify your identity, please visit our secure verification portal within the next 24 hours:

https://secure-chase-account-verify.com/restore

If verification is not completed in time, your account will be permanently suspended and all linked cards will be deactivated.

For questions, contact Chase Customer Support at 1-800-935-9935.

Sincerely,
James Hartley
VP, Account Security
JPMorgan Chase Bank, N.A.","1"
"Subject: Chase Fraud Alert: New Device Login Requires Your Approval

Dear Account Holder,

A sign-in to your Chase account was attempted from a new device:

Device: iPhone 15 Pro
Location: Lagos, Nigeria
Time: Today at 2:14 AM EST

If this was you, no action is needed. If you do not recognize this activity, your account may be compromised. Please secure your account immediately:

https://chase-device-verification.com/approve

Failure to respond within 12 hours will result in your account being locked for security purposes.

Chase Fraud Prevention Team
JPMorgan Chase Bank, N.A.","1"
"Subject: Action Required: Your Chase Debit Card Has Been Blocked

Dear Customer,

Your Chase debit card ending in 4821 has been temporarily blocked following a transaction flagged as potentially fraudulent. A charge of $847.00 was attempted at an unrecognized merchant.

To dispute this charge and restore your card, please verify your identity:

https://chase-card-dispute.com/verify-now

If you do not respond within 48 hours, the transaction will be processed and a dispute may no longer be possible.

Chase Card Services
JPMorgan Chase Bank, N.A.","1"
"Subject: Important: Your Chase Account Will Be Closed in 48 Hours

Dear Valued Customer,

Despite our repeated attempts to reach you, we have been unable to verify your personal information as required under federal banking compliance regulations (U.S. Patriot Act, Section 326).

Unless we receive your verification within 48 hours, your Chase account will be permanently closed and your balance held pending identity confirmation.

Complete verification here: https://chase-compliance-verify.com/update

We apologize for the inconvenience and appreciate your prompt attention.

Compliance & Verification Department
JPMorgan Chase Bank, N.A.","1"
"Subject: Chase: Unusual Wire Transfer of $3,500 Initiated From Your Account

Dear Account Holder,

A wire transfer of $3,500.00 has been initiated from your Chase checking account to an international beneficiary. This transfer was flagged by our fraud detection system as it does not match your typical transaction pattern.

If you did not authorize this transfer, please stop it immediately:

https://chase-wire-dispute.com/cancel-transfer

You have approximately 2 hours before the transfer is processed and cannot be reversed.

Chase Fraud Prevention
JPMorgan Chase Bank, N.A.","1"
"Subject: Chase: Your Online Banking Access Has Been Suspended

Dear Customer,

Your Chase Online Banking account has been suspended due to multiple incorrect password attempts. To protect your financial information, we have locked your account until your identity can be confirmed.

Unlock your account in 3 easy steps:
1. Visit: https://chase-account-unlock.com/restore
2. Verify your identity with your SSN and account number
3. Create a new secure password

Accounts that remain suspended for more than 72 hours may be permanently closed per our security policy.

Chase Digital Security Team","1"
"Subject: Wells Fargo Security Alert: Unrecognized Login Attempt

Dear Wells Fargo Customer,

Our security system has detected a login attempt to your Wells Fargo Online Banking account from an IP address we do not recognize. Your account has been temporarily locked as a precaution.

To unlock your account and confirm your identity, click the link below:

https://wellsfargo-secure-access.com/unlock

This link expires in 24 hours. After expiration, you must visit a branch in person with two forms of government-issued ID.

Wells Fargo Security Team
Wells Fargo Bank, N.A.","1"
"Subject: Wells Fargo: Your Account Has Been Flagged for Review

Dear Customer,

As part of our ongoing compliance with anti-money laundering regulations, your Wells Fargo account has been selected for a routine identity review. During this review, your ability to make external transfers has been temporarily restricted.

To complete the review and restore full account functionality:

https://wellsfargo-account-review.com/verify

This process takes approximately 5 minutes. Failure to complete the review within 5 business days may result in account closure.

Compliance Department
Wells Fargo Bank, N.A.","1"
"Subject: Alert: A New Payee Was Added to Your Wells Fargo Account

Dear Account Holder,

A new bill payment payee was added to your Wells Fargo account today. If you did not authorize this change, your account may have been accessed without your knowledge.

Unauthorized payee added:
Name: Global Commerce Ltd
Account: ****8872
Amount scheduled: $1,200.00

To remove this payee and secure your account:
https://wellsfargo-payee-alert.com/remove

Act within 2 hours to prevent the scheduled payment from processing.

Wells Fargo Online Banking Security","1"
"Subject: Final Notice: Wells Fargo Account Closure in 24 Hours

Dear Valued Customer,

This is your final notice regarding unresolved issues with your Wells Fargo checking account. Our records indicate that your identity documents have not been updated in over 12 months, which is required by federal law.

Your account is scheduled for closure in 24 hours unless you complete identity verification at:

https://wellsfargo-kyc-update.com/verify

Upon successful verification, all account restrictions will be lifted immediately.

Wells Fargo Customer Compliance Team","1"
